OBJECTID,ENTITYID,ENTITYCD,COMMONNM,OFFICIALNM,NAMEUPDT,ENTTYPEID,ENTTYPENM,OPENDATE,CLOSEDATE,STATUS,AUTHGRADES,ACTGRADES,GRADESUPDT,AUTHEDSET,ACTEDSET,EDSETUPDT,ADDRESSID,ADDRTYPEID,STREET,ADDRLINE2,CITY,STATE,ZIP,ADDRUPDT,GEOCODE,CGISTATID,CGISTATDT,XLOCATION,YLOCATION,LATITUDE,LONGITUDE,MIHOUSE,MISENATE,USCONGRESS,BLKGRP,CIVILDIV,FIPSCNTY,COUNTY,DISTCODE,IGNOREFLAG,ROOFTOP,x,y
1642,3525,5865, ,Wood Creek Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",30-Jun-16,"GenEd, SpecEd","GenEd, SpecEd",24-Jul-11,55545,2,28400 HARWICH DR, ,FARMINGTON HILLS,MI,48334-3208,3-Apr-22, ,2,22-Mar-22,719331.8281,220623.5058,42.504345,-83.328702,37,11,14,1667002,27440,125,Oakland,14070,0,Y,-9276108.675,5236829.846
1643,3542,2976, ,Patterson Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",2-Oct-22,"GenEd,PK,SpecEd,SchlChoice","GenEd,PK,SpecEd,SchlChoice",2-Oct-22,55563,2,3231 GRANGE HALL RD, ,HOLLY,MI,48442-2028,3-Apr-22, ,2,22-Mar-22,692835.598,253335.3426,42.80598,-83.63977,51,14,8,1245004,38720,125,Oakland,18450,0, ,-9310736.607,5282486.498
1644,3559,5787, ,Highland Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",7-Jul-13,"GenEd,PK,SpecEd,SchlChoice","GenEd,PK,SpecEd,SchlChoice",21-Aug-16,55581,2,300 W LIVINGSTON RD, ,HIGHLAND,MI,48357-4623,3-Apr-22, ,2,22-Mar-22,694976.1655,234736.384,42.63801,-83.6201,44,14,11,1313001,38080,125,Oakland,18990,0, ,-9308546.952,5257034.587
1645,3576,3521, ,South Lyon High School,5-Oct-08,18,LEA School,30-Jun-90,,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",13-May-21,55603,2,1000 N LAFAYETTE ST, ,SOUTH LYON,MI,48178-2072,3-Apr-22, ,2,22-Mar-22,692879.1416,216417.9533,42.47365,-83.65196,38,15,11,1394001,75100,125,Oakland,32250,0, ,-9312093.591,5232196.107
1646,1552,267, ,Bellevue Jr/Sr High School,9-Aug-09,18,LEA School,"December 31, 1899",,Open-Active,12-Jul,12-Jul,29-Aug-16,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",29-Nov-17,51088,2,576 LOVE HWY, ,BELLEVUE,MI,49021-9301,3-Apr-22, ,2,22-Mar-22,579943.9692,211785.4507,42.45236,-85.026477,71,24,7,208002,7080,45,Eaton,4650,0,Y,-9465104.124,5228983.488
1648,1601,2867, ,Ottawa Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",10-Sep-15,"GenEd,PK,SpecEd,SchlChoice,Tuit","GenEd,PK,SpecEd,SchlChoice,Tuit",4-Nov-21,51144,2,871 KALAMAZOO AVE, ,PETOSKEY,MI,49770-3216,3-Apr-22, ,2,22-Mar-22,582564.0457,535665.3727,45.367885,-84.943625,107,37,1,9707003,63820,47,Emmet,27930,0,Y,-9455881.081,5679624.585
1651,1652,1452, ,Perry Learning Center,22-Oct-20,18,LEA School,"December 31, 1899",,Open-Active,"DevK,DevK-Part,KG,1-12","DevK,DevK-Part,KG,1-12",15-Oct-18,"GenEd,PK,Alt,SpecEd,SchlChoice,SuppVirt","GenEd,PK,Alt,SpecEd,SchlChoice,SuppVirt",2-Nov-20,51270,2,11920 S SAGINAW ST, ,GRAND BLANC,MI,48439-1402,3-Apr-22, ,2,22-Mar-22,693215.8374,266087.2847,42.920661,-83.630676,50,14,5,112101,33280,49,Genesee,16350,0,Y,-9309724.267,5299903.428
1652,1671,5994, ,Goodrich Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",7-Sep-20,51294,2,7480 GALE RD, ,GOODRICH,MI,48438-8600,3-Apr-22, ,2,22-Mar-22,700563.6488,266285.7332,42.920527,-83.540618,51,14,5,134011,4000,49,Genesee,16320,0,Y,-9299699.056,5299883.059
1653,1686,3147, ,Randels Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",27-Sep-18,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",24-Sep-20,51308,2,6022 BROBECK ST, ,FLINT,MI,48532-4057,3-Apr-22, ,2,22-Mar-22,679592.9519,274196.9808,42.99703,-83.79489,49,27,5,108134,29020,49,Genesee,7890,0, ,-9328004.486,5311519.794
1654,1701,1993, ,Kearsley High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,30-Jun-14,"GenEd,SchlChoice","GenEd,SchlChoice",18-Sep-18,51646,2,4302 UNDERHILL DR, ,FLINT,MI,48506-1534,3-Apr-22, ,2,22-Mar-22,694433.8641,282795.5768,43.070733,-83.609873,48,27,5,120081,31800,49,Genesee,20070,0,Y,-9307408.488,5322744.335
1655,2935,6019, ,Sterling Heights Senior H.S.,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,AdultEd,SchlChoice,SuppVirt","GenEd,Alt,SpecEd,AdultEd,SchlChoice,SuppVirt",7-Mar-21,54060,2,12901 15 MILE RD, ,STERLING HEIGHTS,MI,48312-4202,3-Apr-22, ,2,22-Mar-22,746366.2923,227025.6224,42.553706,-82.997112,25,10,9,2319003,76460,99,Macomb,35190,0,Y,-9239196.245,5244286.192
1656,2953,392, ,Brethren High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,SchlChoice,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,SuppVirt",7-Mar-21,54084,2,4400 N HIGH BRIDGE RD, ,BRETHREN,MI,49619,3-Apr-22, ,2,22-Mar-22,498064.2149,416845.1077,44.303127,-86.022291,101,35,1,5002,22320,101,Manistee,20010,0,Y,-9575957.631,5512472.246
1658,2992,1238, ,Superior Hills Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,DevK-Part,KG,KG-Part,1-5","DevK,KG,1-5",3-Oct-21,"GenEd,PK,SpecEd,SchlChoice,BSAS,SuppVirt","GenEd,PK,SpecEd,SchlChoice,BSAS,SuppVirt",7-Sep-20,54120,2,1201 S MCCLELLAN AVE, ,MARQUETTE,MI,49855-9686,3-Apr-22, ,2,22-Mar-22,391000.1371,666668.013,46.54311,-87.41958,109,38,1,28002,51900,103,Marquette,13,0, ,-9731503.131,5867814.269
1663,3067,1902, ,Jefferson Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",8-Sep-20,54405,2,800 W CHAPEL LN, ,MIDLAND,MI,48640-2966,3-Apr-22, ,2,22-Mar-22,642136.6348,345736.1389,43.649091,-84.235534,98,36,4,2909003,53780,111,Midland,23820,0,Y,-9377056.752,5411297.827
1666,2145,1382, ,George Long Elementary School,5-Oct-08,18,LEA School,31-Jan-52,,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",20-Oct-14,"GenEd, SchlChoice, SpecEd, Tuit","GenEd, SchlChoice, SpecEd, Tuit",18-Nov-13,52340,2,829 S UNION ST, ,GRASS LAKE,MI,49240-9346,3-Apr-22, ,2,22-Mar-22,648345.0916,190292.4678,42.248438,-84.200499,65,16,7,68042,34500,75,Jackson,16830,0,Y,-9373156.673,5198267.206
1667,2178,3449, ,Sharp Park Academy,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",19-Sep-18,GenEd,GenEd,17-Nov-21,52378,2,766 PARK RD, ,JACKSON,MI,49203-5058,3-Apr-22, ,2,22-Mar-22,630177.1363,185815.2791,42.211463,-84.421728,64,16,7,8003,41420,75,Jackson,19620,0,Y,-9397783.773,5192708.397
1670,2213,2209, ,Lincoln International Studies School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",8-Jul-09,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",22-Sep-21,52416,2,912 N BURDICK ST, ,KALAMAZOO,MI,49007-3478,3-Apr-22, ,2,22-Mar-22,534247.219,194477.7124,42.30008,-85.5833,60,20,6,2021,42160,77,Kalamazoo,19950,0, ,-9527089.376,5206036.502
1671,2246,2939, ,Parchment Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",28-Sep-20,52456,2,307 N RIVERVIEW DR, ,KALAMAZOO,MI,49004-1309,3-Apr-22, ,2,22-Mar-22,535415.6749,197717.3184,42.32919,-85.56891,66,20,6,13001,62340,77,Kalamazoo,27420,0, ,-9525487.489,5210418.773
1672,2263,3097, ,Portage Northern High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",7-Sep-20,52607,2,1000 IDAHO AVE, ,PORTAGE,MI,49024-1233,3-Apr-22, ,2,22-Mar-22,532903.4498,187116.9749,42.23386,-85.60007,61,20,6,35002,65560,77,Kalamazoo,28950,0, ,-9528956.204,5196075.165
1673,1735,5768, ,Elms Road Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,5-Mar,5-Mar,10-Aug-20,"GenEd, PK, SpecEd","GenEd, PK, SpecEd",20-May-09,51607,2,3259 S ELMS RD, ,SWARTZ CREEK,MI,48473-7928,3-Apr-22, ,2,22-Mar-22,678301.0403,272179.1622,42.97918,-83.81138,49,27,5,109121,29020,49,Genesee,33420,0, ,-9329840.144,5308803.367
1674,1737,5779, ,West Shore Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-2","KG,1-2",21-Sep-22,"GenEd, PK, SpecEd","GenEd, PK, SpecEd",28-Oct-09,51611,2,3076 LAHRING RD, ,FENTON,MI,48430-8801,3-Apr-22, ,2,22-Mar-22,685342.7887,257040.4945,42.84121,-83.73013,51,32,5,133014,27780,49,Genesee,20670,0, ,-9320795.436,5287833.537
1676,1771,2862, ,LakeVille Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-May,8-May,2-Jul-18,"GenEd,Alt,SpecEd,SchlChoice","GenEd,Alt,SpecEd,SchlChoice",9-Mar-16,51694,2,11107 WASHBURN RD, ,OTISVILLE,MI,48463-9630,3-Apr-22, ,2,22-Mar-22,706108.9933,293965.5991,43.168146,-83.462363,48,27,5,124021,29420,49,Genesee,20940,0,Y,-9290987.75,5337600.504
1679,1801,4199, ,West Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,25-Nov-12,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",21-Nov-17,51702,2,3950 SILVER LAKE RD, ,TRAVERSE CITY,MI,49684-8946,3-Apr-22, ,2,22-Mar-22,527340.6696,465708.5015,44.74249,-85.652634,104,37,1,5507003,31580,55,Grand Traverse,33870,0,Y,-9534807.602,5581072.5
1681,1837,388, ,Breckenridge High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Jun,12-Jun,30-Jun-11,"GenEd,Alt,SpecEd,SchlChoice,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,SuppVirt",29-Nov-17,51845,2,700 WRIGHT ST, ,BRECKENRIDGE,MI,48615-9804,3-Apr-22, ,2,22-Mar-22,623235.1923,319314.2406,43.414631,-84.47593,93,33,4,7004,86620,57,Gratiot,6630,0,Y,-9403817.512,5375297.378
1692,2366,2021, ,Kent Hills Elementary,22-Aug-18,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",16-Sep-14,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",7-Mar-21,52783,2,1445 EMERALD AVE NE, ,GRAND RAPIDS,MI,49505-5228,3-Apr-22, ,2,22-Mar-22,528594.4232,270958.6513,42.98902,-85.64763,76,29,3,10004,34000,81,Kent,16440,0, ,-9534250.559,5310300.728
1693,2391,4453, ,West Godwin Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-2","KG,1-2",30-Jun-19,"GenEd,SpecEd,SpecEdCtPr","GenEd,SpecEd,SpecEdCtPr",30-Jun-22,52811,2,3546 CLYDE PARK AVE SW, ,WYOMING,MI,49509-3526,3-Apr-22, ,2,22-Mar-22,525597.0959,261083.4448,42.900217,-85.684882,77,28,2,137004,88940,81,Kent,16110,0,Y,-9538397.433,5296796.169
1694,2400,1872, ,Wyoming Intermediate,30-Jul-12,18,LEA School,"December 31, 1899",,Open-Active,6-May,6-May,8-Jul-09,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",4-Oct-20,53323,2,1331 33RD ST SW, ,WYOMING,MI,49509-3410,3-Apr-22, ,2,22-Mar-22,524489.9673,261614.1112,42.905035,-85.698417,77,28,2,137003,88940,81,Kent,36570,0,Y,-9539904.142,5297528.358
1696,2434,8598, ,Pine Island Elementary,5-Oct-08,18,LEA School,31-Jul-98,,Open-Active,5-Mar,5-Mar,5-Oct-08,"GenEd, SpecEd","GenEd, SpecEd",20-May-09,53344,2,6101 PINE ISLAND DR NE, ,COMSTOCK PARK,MI,49321-9541,3-Apr-22, ,2,22-Mar-22,528018.2589,280439.5724,43.07442,-85.65418,73,28,3,111012,64660,81,Kent,10620,0, ,-9534979.702,5323306.199
1698,2468,594, ,Grandville Central Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-6","DevK,KG,1-6",18-May-20,"GenEd, PK, SchlChoice, SpecEd, Tuit","GenEd, PK, SchlChoice, SpecEd, Tuit",10-Jul-12,53364,2,4052 PRAIRIE ST SW, ,GRANDVILLE,MI,49418-1231,3-Apr-22, ,2,22-Mar-22,519126.8006,261731.611,42.90626,-85.7641,74,28,2,131003,34160,81,Kent,16470,0, ,-9547215.94,5297714.53
1700,2502,5974, ,East Kentwood High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Oct,12-Oct,5-Oct-08,"GenEd,SpecEd,21CCL,SuppVirt","GenEd,SpecEd,21CCL,SuppVirt",7-Oct-21,53382,2,6230 KALAMAZOO AVE SE, ,GRAND RAPIDS,MI,49508-7022,3-Apr-22, ,2,22-Mar-22,531001.2709,255622.8683,42.850829,-85.619019,72,26,3,148042,31240,81,Kent,20340,0,Y,-9531065.597,5289293.992
1701,2527,8713, ,Meadow Ridge Elementary School,5-Oct-08,18,LEA School,31-Aug-99,,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",1-Oct-14,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",27-Aug-20,53295,2,8100 COURTLAND DR NE, ,ROCKFORD,MI,49341-7765,3-Apr-22, ,2,22-Mar-22,537591.4988,284460.3189,43.110178,-85.536306,73,28,3,109031,13080,81,Kent,30030,0,Y,-9521858.028,5328757.127
1702,2532,7467, ,Ridgeview Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,KG-Part,1-2","DevK,KG,1-2",16-Sep-19,"GenEd,PK,SpecEd,Tuit,SuppVirt","GenEd,PK,SpecEd,Tuit,SuppVirt",23-Sep-20,53299,2,560 W SPARTAN DR, ,SPARTA,MI,49345-8735,3-Apr-22, ,2,22-Mar-22,523158.8036,288647.502,43.148499,-85.713492,74,28,3,104021,75440,81,Kent,32370,0,Y,-9541582.284,5334602.293
1703,2536,3562, ,Sparta Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SpecEdCtPr,SuppVirt","GenEd,SpecEd,SpecEdCtPr,SuppVirt",23-Sep-20,53307,2,235 E SPARTAN DR, ,SPARTA,MI,49345-1574,3-Apr-22, ,2,22-Mar-22,523986.7177,288788.7531,43.14974,-85.7033,74,28,3,104023,75440,81,Kent,32370,0, ,-9540447.715,5334791.646
1705,2566,1812, ,Weston Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-2","DevK,KG,1-2",9-Dec-18,"GenEd,PK,SpecEd,SchlChoice","GenEd,PK,SpecEd,SchlChoice",15-Jul-19,53389,2,275 WESTON ST, ,IMLAY CITY,MI,48444-1228,3-Apr-22, ,2,22-Mar-22,737942.1174,278590.2236,43.02039,-83.07768,82,31,10,3395002,40320,87,Lapeer,19100,0, ,-9248165.034,5315075.928
1707,2600,587, ,Blissfield Elementary,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",30-Jul-18,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",7-Mar-21,53427,2,640 S LANE ST, ,BLISSFIELD,MI,49228-1278,3-Apr-22, ,2,22-Mar-22,677219.4185,143634.9263,41.82217,-83.86509,57,17,7,622001,9020,91,Lenawee,6000,0, ,-9335819.114,5134378.482
1709,2634,1529, ,Hawkins Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-4","DevK,KG,1-4",18-Sep-18,"GenEd,SpecEd","GenEd,SpecEd",23-Sep-20,53467,2,8900 LEE RD, ,BRIGHTON,MI,48116-2000,3-Apr-22, ,2,22-Mar-22,683033.8011,219905.5123,42.50748,-83.77055,42,22,8,7444001,35060,93,Livingston,6870,0, ,-9325294.969,5237303.236
1713,2702,4575, ,Wolfe Middle School,5-Oct-08,18,LEA School,31-Dec-61,,Open-Active,8-Jun,8-Jun,5-Oct-08,"BSAS, GenEd, SpecEd","BSAS, GenEd, SpecEd",25-Feb-09,53675,2,8640 MCKINLEY, ,CENTER LINE,MI,48015-1668,3-Apr-22, ,2,22-Mar-22,744969.3313,219742.7943,42.488619,-83.017274,28,9,9,2680002,14320,99,Macomb,8580,0,Y,-9241440.669,5234455.554
1715,2736,884, ,Dean A. Naldrett School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","KG,1-5",25-Aug-22,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",7-Mar-21,53774,2,47800 SUGARBUSH RD, ,CHESTERFIELD,MI,48047-2246,3-Apr-22, ,2,22-Mar-22,761380.5861,239182.0106,42.65809,-82.80875,32,8,10,2228001,15340,99,Macomb,2790,0,Y,-9218227.883,5260073.618
1716,2761,5762, ,Algonquin Middle School,5-Oct-08,18,LEA School,2-Aug-70,,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",8-Mar-21,53802,2,19150 BRIARWOOD LN, ,CLINTON TWP,MI,48036-2122,3-Apr-22, ,2,22-Mar-22,752422.7479,229283.4894,42.572044,-82.92239,31,10,9,2408002,16520,99,Macomb,9570,0,Y,-9230878.23,5247057.785
1717,2766,8627, ,Cheyenne Elementary School,5-Oct-08,18,LEA School,4-Aug-98,,Open-Active,"KG,1-5","KG,1-5",25-Mar-13,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",8-Mar-21,53819,2,47600 HEYDENREICH RD, ,MACOMB,MI,48044-2950,3-Apr-22, ,2,22-Mar-22,752684.7131,237699.3398,42.647683,-82.915425,33,10,10,2241002,50480,99,Macomb,9570,0,Y,-9230102.89,5258498.436
1718,2770,7986, ,Cherokee Elementary School,5-Oct-08,18,LEA School,31-Jul-94,,Open-Active,"KG,1-5","KG,1-5",25-Mar-13,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",8-Mar-21,53829,2,42900 RIVERGATE DR, ,CLINTON TWP,MI,48038-5537,3-Apr-22, ,2,22-Mar-22,752347.8907,233916.5711,42.613758,-82.921227,24,10,9,2430001,16520,99,Macomb,9570,0,Y,-9230748.766,5253365.448
1719,2791,2382, ,Mark Twain Elementary School,5-Oct-08,18,LEA School,29-Jun-60,,Open-Active,"DevK,KG,KG-Part,1-6","DevK,KG,1-6",8-Aug-22,"GenEd,PK,SpecEd,SchlChoice,BSAS,SuppVirt","GenEd,PK,SpecEd,SchlChoice,BSAS,SuppVirt",6-Jan-21,53870,2,30601 CALAHAN RD, ,ROSEVILLE,MI,48066-1466,3-Apr-22, ,2,22-Mar-22,749158.3968,223461.5754,42.520729,-82.964702,22,9,9,2554003,69800,99,Macomb,14820,0,Y,-9235588.381,5239304.118
1720,2795,2433, ,Masonic Heights Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,KG-Part,1-5","DevK,KG,1-5",24-Aug-22,"GenEd,PK,SchlChoice,SuppVirt","GenEd,PK,SchlChoice,SuppVirt",7-Mar-21,53938,2,22100 MASONIC BLVD, ,SAINT CLAIR SHORES,MI,48082-2955,3-Apr-22, ,2,22-Mar-22,755027.1485,224913.7449,42.531859,-82.892658,18,8,9,2503001,70760,99,Macomb,32670,0,Y,-9227568.479,5240985.313
1721,2800,4304, ,Violet Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",10-Aug-22,"GenEd,PK,SchlChoice,SuppVirt","GenEd,PK,SchlChoice,SuppVirt",7-Mar-21,53843,2,22020 VIOLET ST, ,SAINT CLAIR SHORES,MI,48082-1976,3-Apr-22, ,2,22-Mar-22,754959.043,223712.4174,42.521072,-82.894029,18,8,9,2505001,70760,99,Macomb,32670,0,Y,-9227721.098,5239355.924
1722,2825,8242, ,Francis A. Higgins Elem. School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",27-Oct-20,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",28-Sep-20,53948,2,29901 24 MILE RD, ,CHESTERFIELD,MI,48051-1760,3-Apr-22, ,2,22-Mar-22,761206.7831,242901.8905,42.691618,-82.80914,32,8,10,2218001,15340,99,Macomb,21870,0,Y,-9218271.298,5265150.139
1724,2859,4117, ,Switzer Elementary School,5-Oct-08,18,LEA School,31-Dec-62,,Open-Active,"KG,1-6","KG,1-6",5-Jul-12,"Alt, GenEd, PK, SpecEd, Tuit","Alt, GenEd, PK, SpecEd, Tuit",26-Aug-10,53968,2,53200 SHELBY RD, ,SHELBY TOWNSHIP,MI,48316-2257,3-Apr-22, ,2,22-Mar-22,740101.2764,241401.4853,42.685071,-83.06723,36,8,10,2253002,72820,99,Macomb,34470,0,Y,-9247001.745,5264158.633
1725,2868,457, ,Burr Elementary School,5-Oct-08,18,LEA School,31-Dec-50,,Open-Active,"KG,1-6","KG,1-6",30-Jun-12,"Alt, GenEd, PK, SchlChoice, SpecEd, Tuit","Alt, GenEd, PK, SchlChoice, SpecEd, Tuit",26-Aug-10,53990,2,41460 RYAN RD, ,STERLING HEIGHTS,MI,48314-3940,3-Apr-22, ,2,22-Mar-22,740157.3211,231564.7551,42.59653,-83.07075,30,10,10,2306021,76460,99,Macomb,34470,0, ,-9247393.59,5250759.854
1726,2893,4931, ,Adlai Stevenson High School,5-Oct-08,18,LEA School,31-Dec-67,,Open-Active,12-Sep,12-Sep,25-Oct-18,"Alt, GenEd, SchlChoice, SpecEd","Alt, GenEd, SchlChoice, SpecEd",17-Nov-13,54039,2,39701 DODGE PARK RD, ,STERLING HEIGHTS,MI,48313-5131,3-Apr-22, ,2,22-Mar-22,744959.9189,230631.5329,42.586608,-83.012662,25,10,9,2309003,76460,99,Macomb,34470,0,Y,-9240927.263,5249259.559
1732,2995,329, ,Birchview School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-4","DevK,KG,1-4",20-Dec-17,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",14-Sep-14,54126,2,663 POPLAR ST, ,ISHPEMING,MI,49849-1052,3-Apr-22, ,2,22-Mar-22,372331.8003,663387.0142,46.51032,-87.66211,109,38,1,18002,41220,103,Marquette,19530,0, ,-9758501.447,5862508.921
1733,3000,2424, ,Mason County Central H.S.,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,16-Sep-19,"GenEd,Alt,SpecEd,AdultEd,SchlChoice,SuppVirt","GenEd,Alt,SpecEd,AdultEd,SchlChoice,SuppVirt",7-Mar-21,54130,2,300 W BROADWAY AVE, ,SCOTTVILLE,MI,49454-1019,3-Apr-22, ,2,22-Mar-22,476899.4746,378398.4969,43.956654,-86.285974,101,35,2,9506001,72080,105,Mason,23130,0,Y,-9605310.688,5458736.739
1734,3004,855, ,Mason County Eastern Elem. Sch.,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-6","KG,1-6",29-Jan-13,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",8-Mar-21,54138,2,18 S MAIN ST, ,CUSTER,MI,49405-9624,3-Apr-22, ,2,22-Mar-22,482421.2805,378011.2045,43.953314,-86.217145,101,35,2,9507002,19440,105,Mason,23160,0,Y,-9597648.679,5458220.257
1735,3025,415, ,Brookside Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-4","KG,1-4",28-Jul-11,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",11-Oct-20,54160,2,210 ESCOTT ST, ,BIG RAPIDS,MI,49307-1710,3-Apr-22, ,2,22-Mar-22,540846.4693,349589.1534,43.69642,-85.49124,102,33,4,9606004,8300,107,Mecosta,5780,0, ,-9516841.304,5418582.042
1736,1084,3392, ,Sanborn Elementary,5-Jul-21,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",30-Jun-10,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",2-Sep-20,50064,2,12170 US HIGHWAY 23 S, ,OSSINEKE,MI,49766-9776,18-May-11, ,2,18-May-11,701782.2,486323.1,44.90001,-83.44208,106,36,1,1005,71240,7,ALPENA,2730,0, ,-9288729.856,5605793.819
1737,1103,6599, ,Mancelona Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-May,8-May,5-Oct-08,"GenEd,PK,SpecEd,HealthCtr,FamResCtr,SchlChoice","GenEd,PK,SpecEd,HealthCtr,FamResCtr,SchlChoice",7-Oct-18,50527,2,112 ST. JOHNS AVE, ,MANCELONA,MI,49659,3-Apr-22, ,2,22-Mar-22,573707.331,483718.877,44.901318,-85.064376,105,37,1,9607004,50640,9,Antrim,22350,0,Y,-9469323.021,5605999.381
